ALT,Altschul Hall
AVH,Avery Hall
BAR,Barnard Hall
BLK,Black Building
BUE,Buell Hall
BUT,Butler Library
BWY,Broadway Residence Hall
CAR,Carman Hall
CHA,Chandler
CLA,80 Claremont
CSC,Computer Science Building
DEU,Deutsches Haus
DIA,Diana Center
DOD,Dodge Building
ENG,Engineering Terrace
FAY,Fayerweather
FLS,Fairchild Life Sciences Building
GDH,Grace Dodge Hall
GRE,Green Hall Law Building
HAM,Hamilton Hall
HAV,Havemeyer Hall
HEY,Heyman Center for Humanities
HIS,Casa Hispanica
HM,Horace Mann Hall
HMB,Horace Mann Building
HSC,Hammer Health Sciences Center
HTL,Hartley Hall
IAB,International Affairs Building
INTH,International House
JRN,Journalism Building
KNT,Kent Hall
KNX,Knox Hall
KRAF,Kraft Center
LEH,Lehman Hall
LER,Alfred Lerner Hall
LEW,Lewisohn Hall
MAT,Mathematics Building
MCY,Macy Hall
MIL,Milbank Hall, Barnard
MLC,Milstein Center, Barnard
MUD,Seeley W. Mudd Building
NASH,Nash Building
NWC,Northwest Corner
PHI,Philosophy Hall
PRN,Prentis Hall
PUP,Pupin Laboratories
RSC,Riverside Church
SCEP,Schapiro Center for Engineering and Physical Science Research
SCH,Schermerhorn Hall
SCHP,Morris A. Schapiro Hall
SSW,School of Social Work
TH,Thompson Hall
THM,Thompson Hall
URI,Uris Hall
UTS,Union Theological Seminary
WAT,Watson Hall
WJW,W and J Warren 
ZB,Zankel Hall
